Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1920,137,Spiders,Drama,"De Vogy, Carl",,"Lang, Fritz",29,No,
1923,57,Desert Rider,Western,"Hoxie, Jack","Nelson, Evelyn","Bradbury, Robert N.",,No,"Desert Rider: a Hoxie, Jack and Nelson, Evelyn film’s, directed by Bradbury, Robert N."
1924,110,"Siegfried, The Nibelungenlied",Drama,"Richter, Paul","Arnold, Gertrud","Lang, Fritz",79,No,"Siegfried, The Nibelungenlied: a Richter, Paul and Arnold, Gertrud film’s, directed by Lang, Fritz"
1924,95,"Kriemhild's Revenge, The Nibelungenlied",Drama,"Loos, Theodor","Sch�n, Margarete","Lang, Fritz",74,No,"Kriemhild's Revenge, The Nibelungenlied: a Loos, Theodor and Sch�n, Margarete film’s, directed by Lang, Fritz"
1924,123,Gosta Berling's Saga,Drama,"Hanson, Lars",,"Stiller, Mauritz",63,No,
1925,125,Joyless Street,Drama,"Stuart, Henry","Garbo, Greta","Pabst, Georg Wilhelm",73,No,"Joyless Street: a Stuart, Henry and Garbo, Greta film’s, directed by Pabst, Georg Wilhelm"
1926,126,Don Juan,Action,"Barrymore, John","Astor, Mary","Crosland, Alan",55,No,"Don Juan: a Barrymore, John and Astor, Mary film’s, directed by Crosland, Alan"
1926,66,Lodger (Story of the London Fog),Mystery,"Chesney, Arthur","Ault, Marie","Hitchcock, Alfred",76,No,"Lodger (Story of the London Fog): a Chesney, Arthur and Ault, Marie film’s, directed by Hitchcock, Alfred"
1926,109,"Flesh & the Devil, The",Drama,"Gilbert, John","Garbo, Greta","Brown, Clarence",72,No,"Flesh & the Devil, The: a Gilbert, John and Garbo, Greta film’s, directed by Brown, Clarence"
1926,139,Metropolis,Science Fiction,"Abel, Alfred",,"Lang, Fritz",49,No,
1927,60,Easy Virtue,Mystery,"Dyall, Franklin","Jeans, Isabel","Hitchcock, Alfred",45,No,"Easy Virtue: a Dyall, Franklin and Jeans, Isabel film’s, directed by Hitchcock, Alfred"
1927,62,"Drop Kick, The",Drama,"Barthelmess, Richard","Kent, Barbara","Webb, Millard",,No,"Drop Kick, The: a Barthelmess, Richard and Kent, Barbara film’s, directed by Webb, Millard"
1927,78,My Best Girl,Drama,"Rogers, Charles","Pickford, Mary","Taylor, Sam",31,No,"My Best Girl: a Rogers, Charles and Pickford, Mary film’s, directed by Taylor, Sam"
1928,139,Wings,War,"Rogers, Buddy","Bow, Clara","Wellman, William",44,Yes,"Wings: a Rogers, Buddy and Bow, Clara film’s, directed by Wellman, William"
1928,90,Woman of Affairs,Drama,"Gilbert, John","Garbo, Greta","Brown, Clarence",83,No,"Woman of Affairs: a Gilbert, John and Garbo, Greta film’s, directed by Brown, Clarence"
1928,96,"Mysterious Lady, The",Drama,"Nagel, Conrad","Garbo, Greta","Niblo, Fred",72,No,"Mysterious Lady, The: a Nagel, Conrad and Garbo, Greta film’s, directed by Niblo, Fred"
1928,148,Tempest,Drama,"Barrymore, John","Horn, Camilla","Taylor, Sam",33,No,"Tempest: a Barrymore, John and Horn, Camilla film’s, directed by Taylor, Sam"
1928,130,Spies,Drama,"Klein-Rogge, Rudolf",,"Lang, Fritz",49,No,
1929,84,Blackmail,Mystery,"Longden, John","Algood, Sara","Hitchcock, Alfred",2,No,"Blackmail: a Longden, John and Algood, Sara film’s, directed by Hitchcock, Alfred"
1929,100,Wild Orchids,Drama,"Stone, Lewis","Garbo, Greta","Franklin, Sidney",70,No,"Wild Orchids: a Stone, Lewis and Garbo, Greta film’s, directed by Franklin, Sidney"
1929,74,"Single Standard, The",Drama,"Asther, Nils","Garbo, Greta","Robertson, John S.",73,No,"Single Standard, The: a Asther, Nils and Garbo, Greta film’s, directed by Robertson, John S."
1929,68,Racketeer,Drama,"Armstrong, Robert","Lombard, Carole","Higgin, Howard",2,No,"Racketeer: a Armstrong, Robert and Lombard, Carole film’s, directed by Higgin, Howard"
1929,129,"Manxman, The",Drama,"Brisson, Carl","Ondra, Anny","Hitchcock, Alfred",65,No,"Manxman, The: a Brisson, Carl and Ondra, Anny film’s, directed by Hitchcock, Alfred"
1930,92,Anna Christie,Drama,"Bickford, Charles","Garbo, Greta","Brown, Clarence",0,No,"Anna Christie: a Bickford, Charles and Garbo, Greta film’s, directed by Brown, Clarence"
1930,76,Romance,Drama,"Stone, Lewis","Garbo, Greta",,62,No,
1930,95,Murder,Mystery,"Marshall, Herbert",,"Hitchcock, Alfred",50,No,
1931,68,Ambassador Bill,Comedy,"Rogers, Will","Churchill, Marguerite","Taylor, Sam",66,No,"Ambassador Bill: a Rogers, Will and Churchill, Marguerite film’s, directed by Taylor, Sam"
1931,110,"Big Trail, The",Western,"Wayne, John","Churchill, Marguerite","Walsh, Raoul",22,No,"Big Trail, The: a Wayne, John and Churchill, Marguerite film’s, directed by Walsh, Raoul"
1931,,"Range Feud, The",Western,"Wayne, John","Fleming, Susan","Lederman, Ross",51,No,"Range Feud, The: a Wayne, John and Fleming, Susan film’s, directed by Lederman, Ross"
1931,74,Inspiration,Drama,"Apfel, Oscar","Garbo, Greta","Brown, Clarence",66,No,"Inspiration: a Apfel, Oscar and Garbo, Greta film’s, directed by Brown, Clarence"
1931,91,Mata Hari,Drama,"Novarro, Ramon","Garbo, Greta","Fitzmaurice, George",67,No,"Mata Hari: a Novarro, Ramon and Garbo, Greta film’s, directed by Fitzmaurice, George"
1931,84,"Susan Lennox, Her Fall & Rise",Drama,"Hale, Alan","Garbo, Greta","Leonard, Robert Z.",64,No,"Susan Lennox, Her Fall & Rise: a Hale, Alan and Garbo, Greta film’s, directed by Leonard, Robert Z."
1931,95,Arrowsmith,Drama,"Colman, Ronald","Hayes, Helen","Ford, John",84,No,"Arrowsmith: a Colman, Ronald and Hayes, Helen film’s, directed by Ford, John"
1931,125,Cimarron,Western,"Dix, Richard","Taylor, Estelle","Ruggles, Wesley",44,Yes,"Cimarron: a Dix, Richard and Taylor, Estelle film’s, directed by Ruggles, Wesley"
1931,87,A Nous la Liberte,Drama,"Marchand, Henri",,"Clair, Rene",60,No,
1932,92,Rich & Strange,Drama,"Kendall, Henry","Barry, Joan","Hitchcock, Alfred",57,No,"Rich & Strange: a Kendall, Henry and Barry, Joan film’s, directed by Hitchcock, Alfred"
1932,112,Grand Hotel,Drama,"Barrymore, John","Garbo, Greta","Goulding, Edmund",81,Yes,"Grand Hotel: a Barrymore, John and Garbo, Greta film’s, directed by Goulding, Edmund"
1932,71,As You Desire Me,Drama,"Douglas, Melvyn","Garbo, Greta",,85,No,
1932,66,Number Seventeen,Crime,"Lion, Leon M.","Grey, Anne","Hitchcock, Alfred",66,No,"Number Seventeen: a Lion, Leon M. and Grey, Anne film’s, directed by Hitchcock, Alfred"
1932,65,Freaks,Horror,"Ford, Wallace","Hyams, Leila","Browning, Tod",61,No,"Freaks: a Ford, Wallace and Hyams, Leila film’s, directed by Browning, Tod"
1932,,Hurricane Express,Western,"Wayne, John",,,7,No,
1932,210,"Hurricane Express, The",Action,"Wayne, John",,,68,No,
1932,226,"Shadow of the Eagle, The",Action,"Wayne, John",,,19,No,
1933,97,Queen Christina,Drama,"Gilbert, John","Garbo, Greta","Mamoulian, Rouben",82,No,"Queen Christina: a Gilbert, John and Garbo, Greta film’s, directed by Mamoulian, Rouben"
1933,72,Baby Face,Drama,"Brent, George","Stanwyck, Barbara","Green, Alfred E.",66,No,"Baby Face: a Brent, George and Stanwyck, Barbara film’s, directed by Green, Alfred E."
1933,120,"Testament of Dr. Mabuse, The",Drama,"Klein-Rogge, Rudolf",,"Lang, Fritz",4,No,
1934,85,"Painted Veil, The",Drama,"Marshall, Herbert","Garbo, Greta","Boleslawski, Richard",57,No,"Painted Veil, The: a Marshall, Herbert and Garbo, Greta film’s, directed by Boleslawski, Richard"
1934,80,Judge Priest,Drama,"Rogers, Will","Hudson, Rochelle","Ford, John",9,No,"Judge Priest: a Rogers, Will and Hudson, Rochelle film’s, directed by Ford, John"
1934,54,Hell Town,Western,"Wayne, John",,,23,No,
1934,54,Lucky Texan,Western,"Wayne, John",,,48,No,
1935,75,"Count of Old Town, The",Comedy,"Adolphson, Edvin","Bergman, Ingrid","Adolphson, Edvin",72,No,"Count of Old Town, The: a Adolphson, Edvin and Bergman, Ingrid film’s, directed by Adolphson, Edvin"
1935,90,Swedenhielms,Drama,"Westergren, H�kan","Bergman, Ingrid","Molander, Gustaf",88,No,"Swedenhielms: a Westergren, H�kan and Bergman, Ingrid film’s, directed by Molander, Gustaf"
1935,64,One Frightened Night,Horror,"Ford, Wallace","Carlisle, Mary","Cabanne, Christy",33,No,"One Frightened Night: a Ford, Wallace and Carlisle, Mary film’s, directed by Cabanne, Christy"
1935,96,Anna Karenina,Drama,"March, Fredric","Garbo, Greta","Brown, Clarence",35,Yes,"Anna Karenina: a March, Fredric and Garbo, Greta film’s, directed by Brown, Clarence"
1935,54,"Desert Trail, The",Western,"Wayne, John","Kornman, Mary","Collins, Lewis D.",50,No,"Desert Trail, The: a Wayne, John and Kornman, Mary film’s, directed by Collins, Lewis D."
1935,234,"Adventures of Rex & Rinty, The",Western,Rex the Wonder Horse,"Taylor, Norma","Beebe, Ford",87,No,"Adventures of Rex & Rinty, The: a Rex the Wonder Horse and Taylor, Norma film’s, directed by Beebe, Ford"
1935,88,"Thirty-Nine Steps, The",Science Fiction,"Donat, Robert",,"Hitchcock, Alfred",8,No,
1935,60,Mysterious Mr. Wong,Mystery,"Lugosi, Bela",,"Nigh, William",71,No,
1936,84,Secret Agent,Mystery,"Lorre, Peter","Carroll, Madeleine","Hitchcock, Alfred",50,No,"Secret Agent: a Lorre, Peter and Carroll, Madeleine film’s, directed by Hitchcock, Alfred"
1936,70,Doughnuts & Society,Comedy,"Nugent, Eddie","Fazenda, Louise","Collins, Lewis D.",28,No,"Doughnuts & Society: a Nugent, Eddie and Fazenda, Louise film’s, directed by Collins, Lewis D."
1936,110,Camille,Drama,"Taylor, Robert","Garbo, Greta","Cukor, George",74,No,"Camille: a Taylor, Robert and Garbo, Greta film’s, directed by Cukor, George"
1936,89,Libeled Lady,Comedy,"Powell, William","Harlow, Jean","Conway, Jack",86,No,"Libeled Lady: a Powell, William and Harlow, Jean film’s, directed by Conway, Jack"
1936,77,Sabotage,Mystery,"Homolka, Oskar","Sidney, Sylvia","Hitchcock, Alfred",74,No,"Sabotage: a Homolka, Oskar and Sidney, Sylvia film’s, directed by Hitchcock, Alfred"
1936,87,Modern Times,Comedy,"Chaplin, Charles",,"Chaplin, Charles",4,No,
1937,91,Intermezzo,Drama,"Ekman, G�sta","Bergman, Ingrid","Molander, Gustaf",32,No,"Intermezzo: a Ekman, G�sta and Bergman, Ingrid film’s, directed by Molander, Gustaf"
1937,59,Swing It Sailor!,Comedy,"Ford, Wallace","Jewell, Isabel",,6,No,
1937,100,Wee Willie Winkie,Drama,"Romero, Cesar","Temple, Shirley","Ford, John",78,No,"Wee Willie Winkie: a Romero, Cesar and Temple, Shirley film’s, directed by Ford, John"
1937,61,"Swing It, Sailor!",Comedy,"Ford, Wallace",,"Cannon, Raymond",83,No,
1937,80,Young & Innocent,Mystery,"Pilbeam, Nova",,"Hitchcock, Alfred",43,No,
1937,71,"Ticket of Leave Man, The",Mystery,"Slaughter, Tod",,"King, George",45,No,
1937,60,"Throwback, The",Western,"Jones, Buck",,"Taylor, Ray",53,No,
1937,60,Mystery of the Hooded Horsemen,Western,"Ritter, Tex",,"Taylor, Ray",52,No,
1937,60,Tex Rides with the Boy Scouts,Western,"Ritter, Tex",,"Taylor, Ray",17,No,
1938,104,A Woman's Face,Drama,"Svennberg, Tore","Bergman, Ingrid","Molander, Gustaf",49,No,"A Woman's Face: a Svennberg, Tore and Bergman, Ingrid film’s, directed by Molander, Gustaf"
1938,74,Dollar,Drama,"Rydeberg, Georg","Bergman, Ingrid","Molander, Gustav",19,No,"Dollar: a Rydeberg, Georg and Bergman, Ingrid film’s, directed by Molander, Gustav"
1938,298,Flaming Frontiers,Western,"Brown, Johnny Mack","Hansen, Eleanor","Taylor, Ray",82,No,"Flaming Frontiers: a Brown, Johnny Mack and Hansen, Eleanor film’s, directed by Taylor, Ray"
1938,96,Lady Vanishes,Mystery,"Redgrave, Michael","Lockwood, Margaret","Hitchcock, Alfred",27,No,"Lady Vanishes: a Redgrave, Michael and Lockwood, Margaret film’s, directed by Hitchcock, Alfred"
1938,55,Overland Stage Raiders,Western,"Wayne, John",,"Sherman, George",83,No,
1938,55,Pals of the Saddle,Western,"Wayne, John",,"Sherman, George",33,No,
1938,96,Boys Town,Drama,"Tracy, Spencer",,"Taurog, Norman",21,Yes,
1938,110,"John Wayne Matinee Double Feature, No. 4",Western,"Wayne, John",,,28,No,
1939,87,Only One Night,Drama,"Adolphson, Edvin","Bergman, Ingrid","Molander, Gustav",26,No,"Only One Night: a Adolphson, Edvin and Bergman, Ingrid film’s, directed by Molander, Gustav"
1939,96,"Old Maid, The",Drama,"Brent, George","Davis, Bette","Goulding, Edmund",18,No,"Old Maid, The: a Brent, George and Davis, Bette film’s, directed by Goulding, Edmund"
1939,108,Ninotchka,Comedy,"Douglas, Melvyn","Garbo, Greta","Lubitsch, Ernst",40,No,"Ninotchka: a Douglas, Melvyn and Garbo, Greta film’s, directed by Lubitsch, Ernst"
1939,101,Stanley & Livingstone,Action,"Tracy, Spencer","Kelly, Nancy","King, Henry",11,No,"Stanley & Livingstone: a Tracy, Spencer and Kelly, Nancy film’s, directed by King, Henry"
1939,85,Back Door to Heaven,Drama,"Ford, Wallace","MacMahon, Aline","Howard, William K.",83,No,"Back Door to Heaven: a Ford, Wallace and MacMahon, Aline film’s, directed by Howard, William K."
1939,94,Jamaica Inn,Drama,"Laughton, Charles","O'Hara, Maureen","Hitchcock, Alfred",75,No,"Jamaica Inn: a Laughton, Charles and O'Hara, Maureen film’s, directed by Hitchcock, Alfred"
1939,109,"John Wayne Matinee Double Feature, No. 1",Western,"Wayne, John","Rutherford, Ann",,30,No,
1939,80,Allegheny Uprising,Drama,"Wayne, John","Trevor, Claire","Seiter, William A.",53,No,"Allegheny Uprising: a Wayne, John and Trevor, Claire film’s, directed by Seiter, William A."
1939,55,Frontier Horizon,Western,"Wayne, John",,,73,No,
1939,112,"John Wayne Matinee Double Feature, No. 2",Western,"Wayne, John",,,3,No,
1939,110,"John Wayne Matinee Double Feature, No. 3",Western,"Wayne, John",,,24,No,
1940,90,June Night,Drama,"Widgren, Olof","Bergman, Ingrid","Lindberg, Per",14,No,"June Night: a Widgren, Olof and Bergman, Ingrid film’s, directed by Lindberg, Per"
1940,120,Foreign Correspondent,Mystery,"McCrea, Joel","Day, Laraine","Hitchcock, Alfred",61,No,"Foreign Correspondent: a McCrea, Joel and Day, Laraine film’s, directed by Hitchcock, Alfred"
1940,83,Seven Sinners,Drama,"Wayne, John","Dietrich, Marlene","Garnett, Tay",24,No,"Seven Sinners: a Wayne, John and Dietrich, Marlene film’s, directed by Garnett, Tay"
1940,130,Rebecca,Drama,"Olivier, Laurence","Fontaine, Joan","Hitchcock, Alfred",78,Yes,"Rebecca: a Olivier, Laurence and Fontaine, Joan film’s, directed by Hitchcock, Alfred"
1940,81,Lady in Question,Drama,"Aherne, Brian","Hayworth, Rita","Vidor, Charles",57,No,"Lady in Question: a Aherne, Brian and Hayworth, Rita film’s, directed by Vidor, Charles"
1940,127,Northwest Passage,Action,"Tracy, Spencer","Hussey, Ruth","Vidor, King",51,No,"Northwest Passage: a Tracy, Spencer and Hussey, Ruth film’s, directed by Vidor, King"
1940,105,"Long Voyage Home, The",Drama,"Wayne, John","Natwick, Mildred","Ford, John",88,No,"Long Voyage Home, The: a Wayne, John and Natwick, Mildred film’s, directed by Ford, John"
1940,57,Law & Order,Western,"Brown, Johnny Mack","O'Day, Nell","Taylor, Ray",87,No,"Law & Order: a Brown, Johnny Mack and O'Day, Nell film’s, directed by Taylor, Ray"
1940,56,Riders of Pasco Basin,Western,"Brown, Johnny Mack","Robinson, Frances","Taylor, Ray",17,No,"Riders of Pasco Basin: a Brown, Johnny Mack and Robinson, Frances film’s, directed by Taylor, Ray"
1940,95,Dark Command,Western,"Wayne, John","Trevor, Claire","Walsh, Raoul",52,No,"Dark Command: a Wayne, John and Trevor, Claire film’s, directed by Walsh, Raoul"
1940,90,In Old California,Western,"Wayne, John",,"McGann, William",27,No,
1941,75,Walpurgis Night,Drama,"Sj�str�m, Victor","Bergman, Ingrid","Edgren, Gustaf",32,No,"Walpurgis Night: a Sj�str�m, Victor and Bergman, Ingrid film’s, directed by Edgren, Gustaf"
1941,95,Mr. & Mrs. Smith,Comedy,"Montgomery, Robert","Lombard, Carole","Hitchcock, Alfred",3,No,"Mr. & Mrs. Smith: a Montgomery, Robert and Lombard, Carole film’s, directed by Hitchcock, Alfred"
1941,85,Lady from Louisiana,Drama,"Wayne, John","Munson, Ona","Vorhaus, Bernard",38,No,"Lady from Louisiana: a Wayne, John and Munson, Ona film’s, directed by Vorhaus, Bernard"
1941,57,Bury Me Not on the Lone Prairie,Western,"Brown, Johnny Mack","O'Day, Nell","Taylor, Ray",85,No,"Bury Me Not on the Lone Prairie: a Brown, Johnny Mack and O'Day, Nell film’s, directed by Taylor, Ray"
1941,56,Man from Montana,Western,"Brown, Johnny Mack","O'Day, Nell","Taylor, Ray",85,No,"Man from Montana: a Brown, Johnny Mack and O'Day, Nell film’s, directed by Taylor, Ray"
1941,117,So Ends Our Night,Drama,"March, Fredric","Sullavan, Margaret","Cromwell, John",2,No,"So Ends Our Night: a March, Fredric and Sullavan, Margaret film’s, directed by Cromwell, John"
1941,94,Texas,Western,"Holden, William","Trevor, Claire","Marshall, George",79,No,"Texas: a Holden, William and Trevor, Claire film’s, directed by Marshall, George"
1942,123,Reap the Wild Wind,Drama,"Wayne, John","Beecher, Janet","DeMille, Cecil B.",59,No,"Reap the Wild Wind: a Wayne, John and Beecher, Janet film’s, directed by DeMille, Cecil B."
1942,88,Lady for a Night,Drama,"Wayne, John","Blondell, Joan","Leigh, Jason",12,No,"Lady for a Night: a Wayne, John and Blondell, Joan film’s, directed by Leigh, Jason"
1942,18,"Battle of Midway, The",War,"Crisp, Donald","Darwell, Jane","Ford, John",75,No,"Battle of Midway, The: a Crisp, Donald and Darwell, Jane film’s, directed by Ford, John"
1942,85,Wheel of Fortune,Drama,"Wayne, John","Dee, Frances","Auer, John H.",36,No,"Wheel of Fortune: a Wayne, John and Dee, Frances film’s, directed by Auer, John H."
1942,101,Flying Tigers,Action,"Wayne, John",,"Miller, David",61,No,
1942,253,Gangbusters,Drama,"Taylor, Kent",,,31,No,
1943,99,Destroyer,Action,"Robinson, Edward G.","Chapman, Marguerite","Seiter, William A.",87,No,"Destroyer: a Robinson, Edward G. and Chapman, Marguerite film’s, directed by Seiter, William A."
1943,,A Guy Named Joe,Drama,"Tracy, Spencer","Dunne, Irene","Fleming, Victor",42,No,"A Guy Named Joe: a Tracy, Spencer and Dunne, Irene film’s, directed by Fleming, Victor"
1943,265,"Adventures of Smilin' Jack, The",Mystery,"Brown, Tom","Hobart, Rose","Taylor, Ray",77,No,"Adventures of Smilin' Jack, The: a Brown, Tom and Hobart, Rose film’s, directed by Taylor, Ray"
1943,64,"Ape Man, The",Horror,"Ford, Wallace","Lugosi, Bela","Beaudine, William",83,No,"Ape Man, The: a Ford, Wallace and Lugosi, Bela film’s, directed by Beaudine, William"
1943,60,"Lone Star Trail, The",Western,"Brown, Johnny Mack","Ritter, Tex","Taylor, Ray",27,No,"Lone Star Trail, The: a Brown, Johnny Mack and Ritter, Tex film’s, directed by Taylor, Ray"
1943,90,Lassie Come Home,Drama,"McDowall, Roddy","Taylor, Elizabeth","Wilcox, Fred M",79,No,"Lassie Come Home: a McDowall, Roddy and Taylor, Elizabeth film’s, directed by Wilcox, Fred M"
1943,108,Shadow of a Doubt,Drama,"Cotten, Joseph","Wright, Teresa","Hitchcock, Alfred",32,No,"Shadow of a Doubt: a Cotten, Joseph and Wright, Teresa film’s, directed by Hitchcock, Alfred"
1943,82,Sanshiro Sugata,Drama,"Fujita, Susumu",,"Kurosawa, Akira",85,No,
1944,114,Gaslight,Drama,"Boyer, Charles","Bergman, Ingrid","Cukor, George",25,Yes,"Gaslight: a Boyer, Charles and Bergman, Ingrid film’s, directed by Cukor, George"
1944,96,Jane Eyre,Drama,"Welles, Orson","Fontaine, Joan","Stevenson, Robert",44,No,"Jane Eyre: a Welles, Orson and Fontaine, Joan film’s, directed by Stevenson, Robert"
1944,139,Thirty Seconds over Tokyo,War,"Tracy, Spencer",,"LeRoy, Mervyn",45,No,
1944,100,"Fighting Seabees, The",War,"Wayne, John",,"Ludwig, Edward",35,No,
1945,103,Scarlet Street,Drama,"Robinson, Edward G.","Bennett, Joan","Lang, Fritz",80,No,"Scarlet Street: a Robinson, Edward G. and Bennett, Joan film’s, directed by Lang, Fritz"
1945,126,"Bells of St. Mary's, The",Drama,"Crosby, Bing","Bergman, Ingrid","McCarey, Leo",31,No,"Bells of St. Mary's, The: a Crosby, Bing and Bergman, Ingrid film’s, directed by McCarey, Leo"
1945,91,Flame of Barbary Coast,Western,"Wayne, John","Dvorak, Ann","Kane, Joseph",54,No,"Flame of Barbary Coast: a Wayne, John and Dvorak, Ann film’s, directed by Kane, Joseph"
1945,69,Woman Who Came Back,Drama,"Kruger, Otto","Kelly, Nancy","Colmes, Walter",26,No,"Woman Who Came Back: a Kruger, Otto and Kelly, Nancy film’s, directed by Colmes, Walter"
1945,135,They Were Expendable,War,"Montgomery, Robert",,"Ford, John",88,No,
1945,82,Dakota,Western,"Wayne, John",,"Kane, Joseph",27,No,
1945,94,Blood on the Sun,Drama,"Cagney, James",,"Lloyd, Frank",76,No,
1946,93,Crisis,Drama,"Andersson, Wiktor","Baude, Anna-Lisa","Bergman, Ingmar",66,No,"Crisis: a Andersson, Wiktor and Baude, Anna-Lisa film’s, directed by Bergman, Ingmar"
1946,101,Notorious,Mystery,"Grant, Cary","Bergman, Ingrid","Hitchcock, Alfred",42,No,"Notorious: a Grant, Cary and Bergman, Ingrid film’s, directed by Hitchcock, Alfred"
1946,105,Tomorrow Is Forever,Drama,"Welles, Orson","Colbert, Claudette",,65,No,
1946,110,A Stolen Life,Drama,"Ford, Glenn","Davis, Bette","Bernhardt, Curtis",20,No,"A Stolen Life: a Ford, Glenn and Davis, Bette film’s, directed by Bernhardt, Curtis"
1946,97,My Darling Clementine,Western,"Fonda, Henry","Downs, Cathy","Ford, John",12,No,"My Darling Clementine: a Fonda, Henry and Downs, Cathy film’s, directed by Ford, John"
1946,110,Gilda,Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles",57,No,"Gilda: a Ford, Glenn and Hayworth, Rita film’s, directed by Vidor, Charles"
1946,93,Crack-Up,Mystery,"Marshall, Herbert","O'Brien, Pat","Reis, Irving",25,No,"Crack-Up: a Marshall, Herbert and O'Brien, Pat film’s, directed by Reis, Irving"
1946,110,No Regrets for Our Youth,Drama,"Hara, Setsuko",,"Kurosawa, Akira",31,No,
1946,106,Cloak & Dagger,Mystery,"Cooper, Gary",,"Lang, Fritz",55,No,
1947,118,Life with Father,Comedy,"Powell, William","Dunne, Irene","Curtiz, Michael",10,No,"Life with Father: a Powell, William and Dunne, Irene film’s, directed by Curtiz, Michael"
1947,56,Hawk of Powder River,Western,"Dean, Eddie","Holt, Jennifer","Taylor, Ray",61,No,"Hawk of Powder River: a Dean, Eddie and Holt, Jennifer film’s, directed by Taylor, Ray"
1947,96,Angel & the Badman,Western,"Wayne, John","Russell, Gail","Grant, James Edward",84,No,"Angel & the Badman: a Wayne, John and Russell, Gail film’s, directed by Grant, James Edward"
1947,103,Magic Town,Drama,"Stewart, James","Wyman, Jane","Wellman, William",4,No,"Magic Town: a Stewart, James and Wyman, Jane film’s, directed by Wellman, William"
1947,87,Night Is My Future,Drama,"Malmsten, Birger","Zetterling, Mai","Bergman, Ingmar",17,No,"Night Is My Future: a Malmsten, Birger and Zetterling, Mai film’s, directed by Bergman, Ingmar"
1947,61,Check Your Guns,Western,"Dean, Eddie",,"Taylor, Ray",80,No,
1947,56,West to Glory,Western,"Dean, Eddie",,"Taylor, Ray",43,No,
1947,58,"Fighting Vigilantes, The",Western,"LaRue, Lash",,"Taylor, Ray",21,No,
1947,53,Law of the Lash,Western,"LaRue, Lash",,"Taylor, Ray",66,No,
1948,99,Secret Beyond the Door,Mystery,"Redgrave, Michael","Bennett, Joan","Lang, Fritz",31,No,"Secret Beyond the Door: a Redgrave, Michael and Bennett, Joan film’s, directed by Lang, Fritz"
1948,100,Joan of Arc,Drama,"Ferrer, Jose","Bergman, Ingrid","Fleming, Victor",7,No,"Joan of Arc: a Ferrer, Jose and Bergman, Ingrid film’s, directed by Fleming, Victor"
1948,110,Border Street,Drama,"Fijewski, Tadeusz","Broniewska, Maria","Ford, Aleksander",73,No,"Border Street: a Fijewski, Tadeusz and Broniewska, Maria film’s, directed by Ford, Aleksander"
1948,81,Rope,Drama,"Stewart, James","Collier, Constance","Hitchcock, Alfred",39,No,"Rope: a Stewart, James and Collier, Constance film’s, directed by Hitchcock, Alfred"
1948,103,Three Godfathers,Western,"Wayne, John","Darwell, Jane","Ford, John",72,No,"Three Godfathers: a Wayne, John and Darwell, Jane film’s, directed by Ford, John"
1948,87,Lady from Shanghai,Mystery,"Welles, Orson","Hayworth, Rita","Welles, Orson",16,No,"Lady from Shanghai: a Welles, Orson and Hayworth, Rita film’s, directed by Welles, Orson"
1948,98,"Loves of Carmen, The",Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles",48,No,"Loves of Carmen, The: a Ford, Glenn and Hayworth, Rita film’s, directed by Vidor, Charles"
1948,100,Port of Call,Drama,"Eklund, Bengt","J�nsson, Nine-Christine","Bergman, Ingmar",29,No,"Port of Call: a Eklund, Bengt and J�nsson, Nine-Christine film’s, directed by Bergman, Ingmar"
1948,89,Return of October,Comedy,"Ford, Glenn","Moore, Terry","Lewis, Joseph H.",35,No,"Return of October: a Ford, Glenn and Moore, Terry film’s, directed by Lewis, Joseph H."
1948,127,Fort Apache,Western,"Fonda, Henry","Temple, Shirley","Ford, John",4,No,"Fort Apache: a Fonda, Henry and Temple, Shirley film’s, directed by Ford, John"
1948,59,Bandits of Dark Canyon,Western,"Lane, Allan",,"Ford, Philip",72,No,
1948,60,"Bold Frontiersman, The",Western,"Lane, Allan",,"Ford, Philip",18,No,
1948,59,"Wild Frontier, The",Western,"Lane, Allan",,"Ford, Philip",61,No,
1948,88,Criss Cross,Drama,"Lancaster, Burt",,"Siodmak, Robert",77,No,
1949,117,Under Capricorn,Drama,"Cotten, Joseph","Bergman, Ingrid","Hitchcock, Alfred",74,No,"Under Capricorn: a Cotten, Joseph and Bergman, Ingrid film’s, directed by Hitchcock, Alfred"
1949,115,"Heiress, The",Drama,"Richardson, Ralph","De Havilland, Olivia","Wyler, William",81,Yes,"Heiress, The: a Richardson, Ralph and De Havilland, Olivia film’s, directed by Wyler, William"
1949,93,She Wore a Yellow Ribbon,Western,"Wayne, John","Dru, Joanne","Ford, John",84,No,"She Wore a Yellow Ribbon: a Wayne, John and Dru, Joanne film’s, directed by Ford, John"
1949,84,Three Strange Loves,Drama,"Malmsten, Birger","Henning, Eva","Bergman, Ingmar",87,No,"Three Strange Loves: a Malmsten, Birger and Henning, Eva film’s, directed by Bergman, Ingmar"
1949,58,Crashing Thru,Western,"Wilson, Whip","Larson, Christine","Taylor, Ray",19,No,"Crashing Thru: a Wilson, Whip and Larson, Christine film’s, directed by Taylor, Ray"
1949,110,Sands of Iwo Jima,War,"Wayne, John","Mara, Adele","Dwan, Allan",72,No,"Sands of Iwo Jima: a Wayne, John and Mara, Adele film’s, directed by Dwan, Allan"
